Order Date,Product Name,Category,Region,Quantity,Sales,Profit,Year,Month,Month_Name,Profit_Margin
2024-12-31,Printer,Office,North,4,3640,348.93,2024,12,December,9.585989010989012
2022-11-27,Mouse,Accessories,East,7,1197,106.53,2022,11,November,8.899749373433584
2022-05-11,Tablet,Electronics,South,5,5865,502.73,2022,5,May,8.571696504688832
2024-03-16,Mouse,Accessories,South,2,786,202.87,2024,3,March,25.810432569974555
2022-09-10,Mouse,Accessories,West,1,509,103.28,2022,9,September,20.290766208251473
2023-12-01,Camera,Electronics,West,1,524,106.35,2023,12,December,20.295801526717554
2023-10-09,Headphones,Accessories,North,7,6167,1027.98,2023,10,October,16.669044916491004
2022-01-14,Camera,Electronics,South,7,3059,873.5,2022,1,January,28.555083360575352
2022-04-02,Smartwatch,Electronics,East,9,5526,595.28,2022,4,April,10.772348896127397
2024-10-22,Printer,Office,South,8,672,186.37,2024,10,October,27.733630952380956
2023-12-04,Monitor,Accessories,South,6,7074,1357.68,2023,12,December,19.192536047497878
2022-09-27,Smartwatch,Electronics,East,2,502,137.4,2022,9,September,27.37051792828685
2023-12-21,Tablet,Electronics,North,7,7462,2166.17,2023,12,December,29.02934870008041
2024-02-03,Smartphone,Electronics,West,5,4205,585.29,2024,2,February,13.918906064209274
2023-10-10,Camera,Electronics,West,1,570,138.54,2023,10,October,24.305263157894736
2022-10-16,Headphones,Accessories,East,1,441,102.42,2022,10,October,23.22448979591837
2022-05-15,Mouse,Accessories,North,7,7469,589.81,2022,5,May,7.89677332976302
2023-02-11,Tablet,Electronics,South,2,2212,145.75,2023,2,February,6.589059674502712
2023-12-27,Tablet,Electronics,East,5,740,146.39,2023,12,December,19.782432432432433
2023-10-05,Headphones,Accessories,North,1,662,193.92,2023,10,October,29.293051359516614
2024-03-05,Mouse,Accessories,North,7,5712,651.27,2024,3,March,11.401785714285714
2023-07-18,Smartwatch,Electronics,North,3,2739,572.73,2023,7,July,20.910186199342824
2023-06-25,Keyboard,Accessories,West,5,1400,213.63,2023,6,June,15.259285714285713
2023-11-13,Printer,Office,North,3,3477,939.2,2023,11,November,27.01179177451826
2022-07-09,Camera,Electronics,North,5,3475,570.36,2022,7,July,16.413237410071943
2023-12-11,Laptop,Electronics,West,9,6138,1562.14,2023,12,December,25.450309547083744
2023-03-18,Camera,Electronics,West,5,3665,406.93,2023,3,March,11.103137789904501
2024-08-09,Printer,Office,North,2,2372,206.42,2024,8,August,8.702360876897133
2024-05-04,Laptop,Electronics,North,2,1382,211.11,2024,5,May,15.275687409551375
2022-09-04,Laptop,Electronics,West,1,1126,194.08,2022,9,September,17.236234458259325
2022-10-21,Printer,Office,West,8,1376,152.1,2022,10,October,11.053779069767442
2024-01-22,Mouse,Accessories,West,4,988,147.91,2024,1,January,14.970647773279353
2023-04-09,Laptop,Electronics,North,9,10773,1907.36,2023,4,April,17.705003248862898
2023-02-07,Headphones,Accessories,South,4,3252,713.46,2023,2,February,21.939114391143914
2023-05-04,Headphones,Accessories,North,3,2739,202.81,2023,5,May,7.404527199707922
2023-04-18,Tablet,Electronics,South,7,2709,702.79,2023,4,April,25.942783314876337
2022-12-12,Printer,Office,West,3,936,201.24,2022,12,December,21.5
2022-09-11,Camera,Electronics,West,4,3720,410.92,2022,9,September,11.046236559139786
2024-03-26,Mouse,Accessories,West,5,5320,716.91,2024,3,March,13.475751879699246
2023-09-20,Headphones,Accessories,East,4,804,121.51,2023,9,September,15.113184079601991
2023-05-25,Laptop,Electronics,North,8,1224,246.77,2023,5,May,20.160947712418302
2022-12-04,Headphones,Accessories,South,9,8667,781.78,2022,12,December,9.020191531094959
2022-06-10,Monitor,Accessories,West,3,3018,320.11,2022,6,June,10.606693174287608
2023-02-05,Laptop,Electronics,West,5,4325,1023.39,2023,2,February,23.662196531791906
2024-01-20,Laptop,Electronics,South,3,1557,181.08,2024,1,January,11.63005780346821
2022-01-27,Monitor,Accessories,South,6,3672,1002.5,2022,1,January,27.30119825708061
2023-03-29,Mouse,Accessories,West,1,333,72.34,2023,3,March,21.723723723723726
2022-01-17,Headphones,Accessories,West,4,2384,577.26,2022,1,January,24.213926174496645
2024-11-26,Mouse,Accessories,West,6,888,210.39,2024,11,November,23.692567567567565
2024-09-19,Laptop,Electronics,West,5,3280,954.17,2024,9,September,29.0905487804878
